"Export date: 2020. 5. 6. 오후 1:14:14","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Reviews","Rating","Rank","Seller type","Category","ASIN","Link"
"","","83","Traditional Medicinals Organic Nighty Night Valerian Relaxation Tea 16 Tea Bags (Pack of 1)","Traditional Medicinals","$4.78","5109","65","$24421","1305","4.5","4566","AMZ","Grocery & Gourmet Food","B007IW25FQ","https://www.amazon.com/Traditional-Medicinals-Organic-Valerian-Relaxation/dp/B007IW25FQ/ref=sr_1_91?dchild=1&keywords=Yogi+tea&qid=1588738389&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-91"
"","","84","Yogi Tea Detox - Caffeine Free - 16 Tea Bags - 70%+ Organic -","Yogi","$10.99","117","5","$1286","74","4.5","39520","FBA","Grocery & Gourmet Food","B013KASNU0","https://www.amazon.com/Yogi-Tea-Detox-Caffeine-Organic/dp/B013KASNU0/ref=sr_1_92?dchild=1&keywords=Yogi+tea&qid=1588738389&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-92"
"","","85","Yogi Tea Kombucha Green Tea 16 ea ( pack of 2)","Yogi Tea","$9.87","180","4","$1777","153","4.5","49445","","Grocery & Gourmet Food","B00KPTERBE","https://www.amazon.com/Yogi-Tea-Kombucha-Green-pack/dp/B00KPTERBE/ref=sr_1_93?dchild=1&keywords=Yogi+tea&qid=1588738389&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-93"
"","","86","Yogi Teas Joint Comfort Teas 16 Count","Yogi","$11.30","30","1","$339","57","4.5","129854","FBA","Grocery & Gourmet Food","B000MMIWV0","https://www.amazon.com/Yogi-Teas-Joint-Comfort-Count/dp/B000MMIWV0/ref=sr_1_94?dchild=1&keywords=Yogi+tea&qid=1588738389&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-94"
"","","87","Yogi Tea Chai Black 16 Count (Pack of 6) Packaging May Vary","Yogi","$23.97","30","1","$719","48","4","94678","FBA","Grocery & Gourmet Food","B0009F3SAA","https://www.amazon.com/Yogi-Chai-Black-Count-Packaging/dp/B0009F3SAA/ref=sr_1_95?dchild=1&keywords=Yogi+tea&qid=1588738389&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-95"
"","","88","Yogi Tea Egyptian Licorice 16 Count","Yogi Tea","$8.29","72","1","$597","54","4.5","121297","","Grocery & Gourmet Food","B000QYCJJ0","https://www.amazon.com/Yogi-Organic-Egyptian-Licorice-Bags/dp/B000QYCJJ0/ref=sr_1_96?dchild=1&keywords=Yogi+tea&qid=1588738389&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-96"
"","","89","Yogi Tea Blackberry Moringa Green Tea 16 Count Packaging May Vary","Yogi","$14.99","35","1","$525","29","4.5","90803","","Grocery & Gourmet Food","B06XWBRZNV","https://www.amazon.com/Yogi-Blackberry-Moringa-Green-Packaging/dp/B06XWBRZNV/ref=sr_1_97?dchild=1&keywords=Yogi+tea&qid=1588738389&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-97"
"","","90","Yogi Tea Organic Bedtime 16 ct","Yogi Tea","$5.96","30","1","$179","33","4.5","109694","","Grocery & Gourmet Food","B000QUYS9S","https://www.amazon.com/Yogi-Healing-Formula-Organic-Bedtime/dp/B000QUYS9S/ref=sr_1_98?dchild=1&keywords=Yogi+tea&qid=1588738389&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-98"
"","","91","Tiesta Tea | Mango DreamZZZ Loose Leaf Mango Chamomile Herbal Tea | All Natural Caffeine Free Stress Relief Relax Sleep Tea Calming | 1.5oz Resealable Pouch - 30 Cups | Mango Herbal Tea","Tiesta Tea","$5.99","120","4","$719","971","4.5","45416","AMZ","Grocery & Gourmet Food","B01MFCYB7L","https://www.amazon.com/Chamomile-Tea-DREAMZZZ-Caffeine-Relaxer/dp/B01MFCYB7L/ref=sr_1_99?dchild=1&keywords=Yogi+tea&qid=1588738389&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-99"
"","","92","Yogi Tea Echinacea Immune Support 16 Count","Yogi Tea","$6.68","65","1","$434","101","4.5","85823","","Grocery & Gourmet Food","B000M7NH8I","https://www.amazon.com/Yogi-Herbal-Echinacea-Immune-Support/dp/B000M7NH8I/ref=sr_1_100?dchild=1&keywords=Yogi+tea&qid=1588738389&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-100"
"","","93","Yogi Tea Lemon Ginger Tea Bags 16 ea ( pack of 3)","Yogi","$29.99","0","0","$0","2","5","203076","FBA","Grocery & Gourmet Food","B002LMCGQQ","https://www.amazon.com/Yogi-Lemon-Ginger-Bags-pack/dp/B002LMCGQQ/ref=sr_1_101?dchild=1&keywords=Yogi+tea&qid=1588738389&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-101"
"","","94","Yogi Tea Ginger 1.12 Ounce","Yogi Tea","$6.00","30","1","$180","70","4.5","159883","","Grocery & Gourmet Food","B000QYCJLI","https://www.amazon.com/Yogi-Organic-Ginger-Bags-1-12/dp/B000QYCJLI/ref=sr_1_102?dchild=1&keywords=Yogi+tea&qid=1588738389&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-102"
"","","95","Yogi Tea Peach Detox Herbal Supplement Tea Bags 16 ct 2 pk","Yogi","$14.66","66","2","$968","66","4","76258","FBA","Grocery & Gourmet Food","B00KPTEO0I","https://www.amazon.com/Yogi-Peach-Detox-Herbal-Supplement/dp/B00KPTEO0I/ref=sr_1_103?dchild=1&keywords=Yogi+tea&qid=1588738389&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-103"
"","","96","Yogi Tea - Soothing Mint Get Regular - Gentle Herbal Laxative - 6 Pack 96 Tea Bags Total","Yogi","$29.99","390","15","$11696","209","4.5","17932","FBA","Grocery & Gourmet Food","B000CMF17S","https://www.amazon.com/Yogi-Tea-Soothing-Regular-Laxative/dp/B000CMF17S/ref=sr_1_104?dchild=1&keywords=Yogi+tea&qid=1588738389&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-104"
"","","97","Yogi Tea Blackberry Apple Cider Digestive Awakening 16 Count","Yogi Tea","$4.96","35","1","$174","15","4","125378","","Grocery & Gourmet Food","B07SKCHMVS","https://www.amazon.com/Yogi-Tea-Digestive-Awakening-Blackberry/dp/B07SKCHMVS/ref=sr_1_101?dchild=1&keywords=Yogi+tea&qid=1588738400&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-101"
"","","98","Traditional Medicinals Seasonal Tea Sampler Variety Pack 16 ea","Traditional Medicinals","$8.84","83","1","$734","15","4","104386","FBA","Grocery & Gourmet Food","B005UO8RZG","https://www.amazon.com/Traditional-Medicinals-Seasonal-Sampler-Variety/dp/B005UO8RZG/ref=sr_1_102?dchild=1&keywords=Yogi+tea&qid=1588738400&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-102"
"","","99","Bigelow Decaffeinated Green Tea Bags 20 Count Box (Pack of 6) Decaf Green Tea 120 Tea Bags Total","Bigelow Tea","$16.02","2700","72","$43254","419","4.5","4043","AMZ","Grocery & Gourmet Food","B000GG5J18","https://www.amazon.com/Bigelow-Decaffeinated-Tea-Individual-Sweetened/dp/B000GG5J18/ref=sr_1_103?dchild=1&keywords=Yogi+tea&qid=1588738400&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-103"
"","","100","Yogi Teas: Woman's Raspberry Leaf Tea 16 ct (3 pack)","Yogi Tea","$17.95","90","7","$1616","75","4.5","31885","FBA","Grocery & Gourmet Food","B001U2VUZG","https://www.amazon.com/Yogi-Teas-Womans-Raspberry-Leaf/dp/B001U2VUZG/ref=sr_1_104?dchild=1&keywords=Yogi+tea&qid=1588738400&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-104"
"","","101","Stash Tea Organic Tea Six Flavor Assortment 18 Count Tea Bags in Foil (Pack of 6) Individual Tea Bag Variety Pack Use in Teapots Mugs or Cups Brew Hot Tea or Iced Tea","Stash","$15.07","1196","34","$18024","183","4.5","8634","AMZ","Grocery & Gourmet Food","B005Q8BLA4","https://www.amazon.com/Stash-Tea-Organic-Assortment-Individual/dp/B005Q8BLA4/ref=sr_1_105?dchild=1&keywords=Yogi+tea&qid=1588738400&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-105"
"","","102","Traditional Medicinals Organic Echinacea Plus Seasonal Tea 16 Tea Bags (Pack of 6)","Traditional Medicinals","$26.22","1050","27","$27531","1678","5","10888","AMZ","Grocery & Gourmet Food","B0009F3PLC","https://www.amazon.com/Traditional-Medicinals-Organic-Echinacea-Seasonal/dp/B0009F3PLC/ref=sr_1_106?dchild=1&keywords=Yogi+tea&qid=1588738400&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-106"
"","","103","Yogi Tea Organic Throat Comfort Tea 16 ct","Yogi Tea","$5.89","0","0","$0","24","4.5","309531","","Grocery & Gourmet Food","B000QY7POE","https://www.amazon.com/Yogi-Organic-Throat-Comfort-Bags/dp/B000QY7POE/ref=sr_1_107?dchild=1&keywords=Yogi+tea&qid=1588738400&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-107"
"","","104","Yogi Tea - Joint Comfort - Supports Healthy Joints - 6 Pack 96 Tea Bags Total","Yogi","$39.99","60","1","$2399","128","4","98530","FBA","Grocery & Gourmet Food","B000CMIYZE","https://www.amazon.com/Yogi-Tea-Comfort-Supports-Healthy/dp/B000CMIYZE/ref=sr_1_108?dchild=1&keywords=Yogi+tea&qid=1588738400&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-108"
"","","105","Yogi Tea Raspberry Passion Perfect Energy 16 Count","Yogi","$6.98","67","3","$468","259","4.5","50819","","Grocery & Gourmet Food","B00EIB0T6W","https://www.amazon.com/Yogi-Raspberry-Passion-Perfect-Energy/dp/B00EIB0T6W/ref=sr_1_109?dchild=1&keywords=Yogi+tea&qid=1588738400&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-109"
"","","106","Yogi Teas Tea Rspbry Pssn Prfct Energy16 Each (pack of 3)","Yogi","$18.78","20","0","$376","19","4.5","219966","FBA","Grocery & Gourmet Food","B00H9IYNJK","https://www.amazon.com/Yogi-Teas-Rspbry-Prfct-Energy/dp/B00H9IYNJK/ref=sr_1_110?dchild=1&keywords=Yogi+tea&qid=1588738400&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-110"
"","","107","Yogi Herbal Tea Bags Berry DeTox 16 ea ( pack of 2)","YOGI","$10.99","30","2","$330","24","4","73171","FBA","Grocery & Gourmet Food","B01AQN7BQQ","https://www.amazon.com/Yogi-Herbal-Bags-Berry-DeTox/dp/B01AQN7BQQ/ref=sr_1_111?dchild=1&keywords=Yogi+tea&qid=1588738400&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-111"
